Region,annee,population
WLD,1950,2536.431018
WLD,1951,2584.034227
WLD,1952,2630.86169
WLD,1953,2677.609061
WLD,1954,2724.846754
WLD,1955,2773.019915
WLD,1956,2822.443254
WLD,1957,2873.306058
WLD,1958,2925.68668
WLD,1959,2979.576147
WLD,1960,3034.949715
WLD,1961,3091.843513
WLD,1962,3150.420761
WLD,1963,3211.000946
WLD,1964,3273.978272
WLD,1965,3339.58351
WLD,1966,3407.922631
WLD,1967,3478.770104
WLD,1968,3551.599436
WLD,1969,3625.680965
WLD,1970,3700.437042
WLD,1971,3775.76003
WLD,1972,3851.650588
WLD,1973,3927.780519
WLD,1974,4003.794178
WLD,1975,4079.480474
WLD,1976,4154.666827
WLD,1977,4229.505919
WLD,1978,4304.533599
WLD,1979,4380.506185
WLD,1980,4458.003466
WLD,1981,4536.996619
WLD,1982,4617.386526
WLD,1983,4699.569187
WLD,1984,4784.011517
WLD,1985,4870.921666
WLD,1986,4960.568
WLD,1987,5052.521998
WLD,1988,5145.425994
WLD,1989,5237.441434
WLD,1990,5327.231041
WLD,1991,5414.289383
WLD,1992,5498.919893
WLD,1993,5581.597598
WLD,1994,5663.150428
WLD,1995,5744.21293
WLD,1996,5824.891931
WLD,1997,5905.045647
WLD,1998,5984.794075
WLD,1999,6064.239033
WLD,2000,6143.493806
WLD,2001,6222.626531
WLD,2002,6301.773172
WLD,2003,6381.185141
WLD,2004,6461.159391
WLD,2005,6541.906956
WLD,2006,6623.517917
WLD,2007,6705.946643
WLD,2008,6789.088672
WLD,2009,6872.766988
WLD,2010,6956.823588
WLD,2011,7041.194168
WLD,2012,7125.827957
WLD,2013,7210.582041
WLD,2014,7295.290759
WLD,2015,7379.796967
WLD,2016,7464.021934
WLD,2017,7547.8589
WLD,2018,7631.091113
WLD,2019,7713.468205
WLD,2020,7794.798729
